id_ipa;rayon;area;site_name;neighbourhood;urban_type;urban_type_2;possible_outlier;x;y;species_richness;evenness_class;dom_sp_1;dom_sp_2;dom_sp_3;bcount;bprop;bh;bh_m;bh_iqr;bconti;bfreq;barea_m;barea_iqr;bgaps;bhgaps;rlength;rdens;rortho_m;hprop;hcount;harea_m;harea_iqr;sprop;scount;sarea_m;sarea_iqr;fprop;fcount;farea_m;farea_iqr;wprop;lcz;vmanag;npoll;lflux_0_m;lflux_5_m;lflux_10_m;lflux_20_m;fw_d1b1_euc;fw_d2b1_euc;cfw_d1b1_euc;cfw_d2b1_euc;fw_d1b1;fw_d2b1;cfw_d1b1;cfw_d2b1;fh_d1b1_euc;fh_d2b1_euc;cfh_d1b1_euc;cfh_d2b1_euc;fh_d1b1;fh_d2b1;cfh_d1b1;cfh_d2b1;ff_d1b1_euc;ff_d2b1_euc;cff_d1b1_euc;cff_d2b1_euc;ff_d1b1;ff_d2b1;cff_d1b1
IPA001a;150;70232,51593;parc_du_drapeau;jouvence_maladiere;mixed_surrounding_park;mixed_housing;0;5,0428;47,3375;13;B;Platanus sp;Acer platanoides;Taxus baccata;153;0,218872135;1,693337555;3,7;3,3;0,466204312;0,097988156;96,445;205,25;0,290487223;5,829301323;1173,611231;0,000113907;1,946433507;0,147551894;242;4;15,75;0,107757074;539;3;12;0,110998297;122;4;21,75;0;6;intensive;50,63659286;23,95752854;65,98548102;55,05034151;32,97442044;0;0;0;0;0;0;0;0;1590389,58;38575921,19;9,00162E+11;8,74501E+11;2414557,741;136371821,1;8,1771E+11;8,06614E+11;3079607,086;66563317,15;1,9113E+12;1,8913E+12;7807185,858;792387032,1;1,91417E+12
IPA001a;300;280930,0637;parc_du_drapeau;jouvence_maladiere;mixed_surrounding_park;mixed_housing;0;5,0428;47,3375;13;B;Platanus sp;Acer platanoides;Taxus baccata;525;0,22215112;1,724963961;3,8;3,4;0,591893177;0,06735237;107,86;196,03;0,335783407;5,137132824;5864,678529;0,000156623;2,302663799;0,140963196;945;5;23;0,105173568;1901;4;12;0,063041811;399;6;22,2859811;0;6;intensive;55,25720596;62,02517072;98,69619847;73,03922009;35,89893002;0;0;0;0;0;0;0;0;7130206,308;175936774,1;3,78715E+12;3,68705E+12;11600239,51;634705545,4;3,41527E+12;3,36917E+12;14466341,7;336509144,3;8,77037E+12;8,68813E+12;38602559,98;3994934373;8,95455E+12
IPA001a;450;632092,6433;parc_du_drapeau;jouvence_maladiere;mixed_surrounding_park;mixed_housing;0;5,0428;47,3375;13;B;Platanus sp;Acer platanoides;Taxus baccata;1434;0,233101751;1,741696387;3,9;3,1;0,545724754;0,080418901;102,86;155,025;0,313473536;5,556119383;13628,63686;0,000172443;4,234718432;0,137135324;2139;6;24;0,111063709;3917;4;12;0,046644896;818;6;21;0,001086654;6;intensive;54,15730667;73,46256163;108,4371755;75,4656289;35,89893002;38,10560345;7795,265941;1323,61109;848019,2256;166,1464058;4098,545929;825,5675983;13321,31958;16837671,57;411304993,1;8,34482E+12;8,12161E+12;30325995,06;1506359222;7,5806E+12;7,48324E+12;29895563,64;703980829,3;1,74164E+13;1,72583E+13;86312791,93;8366340477;1,77439E+13
IPA001b;150;70232,51593;parc_du_drapeau;jouvence_maladiere;housing_buildings;residential_buildings;0;5,0456;47,3374;26;B;Thuja sp;Fraxinus excelsior;Cornus sp;48;0,230377158;2,11601849;7,2;6,85;0,909034668;0,025487094;589,5025;434,8275;0,409698275;5,164821571;1608,657276;0,000199338;0,668081805;0,143168094;185;7;23;0,080185393;506;11;11;0,028523334;71;6,324456408;25;0;4;intensive;55,68380356;97,90263254;145,8195968;92,46462788;32,51521911;0;0;0;0;0;0;0;0;1484121,031;36968013,57;8,86805E+11;8,63364E+11;2386647,814;130088494;8,28753E+11;8,16313E+11;5299959,934;133917042,2;3,19234E+12;3,16646E+12;11186276,81;1444476880;3,32501E+12
IPA001b;300;280930,0637;parc_du_drapeau;jouvence_maladiere;housing_buildings;residential_buildings;0;5,0456;47,3374;26;B;Thuja sp;Fraxinus excelsior;Cornus sp;443;0,239473748;1,98094158;4,1;3,8;0,663835257;0,057624451;113,185;243,20375;0,292291671;6,777276857;5449,075737;0,000138825;1,790590792;0,136398799;820;5;22;0,09586988;1934;4;12;0,056290084;362;5;25;0;6;intensive;54,09048843;57,5456711;89,42667199;67,27283117;31,71442776;0;0;0;0;0;0;0;0;6162439,894;155908996,4;3,36552E+12;3,27214E+12;10038899,41;554407875,8;3,11325E+12;3,06697E+12;13824703,78;342767504,5;8,14897E+12;8,08234E+12;30439149,02;3717907093;8,28962E+12
IPA001b;450;632092,6433;parc_du_drapeau;jouvence_maladiere;housing_buildings;residential_buildings;0;5,0456;47,3374;26;B;Thuja sp;Fraxinus excelsior;Cornus sp;1446;0,236486764;1,780584637;3,9;3,2;0,568313626;0,080492469;94,87;152,87;0,290512639;6,129112462;13491,94552;0,000172443;3,987614853;0,125889286;2151;5;22;0,108951597;3876;5;12,00971303;0,045109527;830;4;18;0;6;intensive;54,5206871;65,82643086;94,48926958;73,16697045;35,92419519;0;0;0;0;0;0;0;0;15534745,12;390948120,7;8,06926E+12;7,83978E+12;26036089,03;1410930694;7,49909E+12;7,3852E+12;29500468,54;710384162,9;1,83107E+13;1,81341E+13;71746978,57;7969913642;1,895E+13
IPA002a;150;70232,51593;square_pascal;jouvence_maladiere;resid_housing_park;front_resid_housing;1;5,0544;47,3375;19;C;Acer platanoides;Buxus sp;Cupressus sp;154;0,11672798;0,666362313;4,5;3,7;0,710312919;0,060998592;86,275;75,615;0,556236639;1,197983495;1852,50179;0,000256292;2,793311319;0,254057221;306;4,575655541;19,13157588;0,150890487;771;3;12;0,104427026;243;2;8,5;0;6;intensive;59,43580627;55,49607304;77,25760043;86,71107195;70,05498481;0;0;0;0;0;0;0;0;2714712,978;54452836,21;1,1387E+12;1,09484E+12;4279418,007;208114512,7;1,0166E+12;9,98371E+11;3142306,222;59825238,78;2,26969E+12;2,24054E+12;8104622,4;617229082,9;2,35909E+12
IPA002a;300;280930,0637;square_pascal;jouvence_maladiere;resid_housing_park;front_resid_housing;1;5,0544;47,3375;19;C;Acer platanoides;Buxus sp;Cupressus sp;643;0,188913462;1,115176816;4,2;3,2;0,597600649;0,075372491;84,725;67,2225;0,453828563;2,457264498;6315,301425;0,000227815;9,840463221;0,166813633;1101;4;21;0,138924984;1977;3;13;0,044358149;632;2;7;0;6;intensive;57,61120224;67,38312179;87,20214168;99,44447404;65,8380672;0;0;0;0;0;0;0;0;9069370,814;195636020,3;4,0169E+12;3,86271E+12;15913793,39;753493933,8;3,61209E+12;3,54514E+12;11535445,77;239458146,3;8,08214E+12;7,98045E+12;29805052,06;2451299356;8,69739E+12
IPA002a;450;632092,6433;square_pascal;jouvence_maladiere;resid_housing_park;front_resid_housing;1;5,0544;47,3375;19;C;Acer platanoides;Buxus sp;Cupressus sp;1297;0,178709839;1,075683346;4,2;3,1;0,606680359;0,079664508;87,7975;89,925;0,40893625;2,630442629;12226,27272;0,000191428;10,04168433;0,142760795;2159;4;21;0,121217645;3628;4;13;0,034793944;1112;3;10;0;6;intensive;57,43131256;57,57030528;80,76776846;94,13741926;53,45899864;0;0;0;0;0;0;0;0;16854761,14;380155840,6;8,06342E+12;7,76221E+12;31590086,72;1464430668;7,39048E+12;7,25861E+12;24586780,44;540023045,6;1,68677E+13;1,66655E+13;64306505,35;5507177691;1,80732E+13
IPA002b;150;70232,51593;square_pascal;jouvence_maladiere;mixed_housing;mixed_front_resid_housing;0;5,056;47,3361;18;B;Aesculus hippocastanum;Prunus laurocerasus;Acer pseudoplatanus;139;0,16904571;1,164963004;4,1;3,25;0,785042867;0,049873733;83,4575;110,44375;0,552953408;2,106801383;2165,468541;0,000384437;10,75387061;0,129281625;281;5;23;0,115782996;559;3;11;0,062800834;177;3;11;0;6;intensive;59,40496445;66,18316202;81,67643965;93,11818589;82,30835594;0;0;0;0;0;0;0;0;2288060,618;51630403,19;1,38118E+12;1,32629E+12;3721984,912;203566639,9;1,19434E+12;1,17023E+12;2731649,958;57962722,91;2,4804E+12;2,44385E+12;6768464,27;554792768,4;2,64593E+12
IPA002b;300;280930,0637;square_pascal;jouvence_maladiere;mixed_housing;mixed_front_resid_housing;0;5,056;47,3361;18;B;Aesculus hippocastanum;Prunus laurocerasus;Acer pseudoplatanus;430;0,161448835;1,065991485;4,2;3,7;0,585940927;0,055250609;91,315;102,75;0,515637958;2,067325472;5900,3875;0,000206457;9,213906531;0,154168497;890;5;21,75;0,10599921;1793;3;12;0,050836446;571;3;8,5;0;6;intensive;59,21993637;64,29116185;82,73639137;99,14591434;58,77853961;0;0;0;0;0;0;0;0;6858846,06;155590746,1;3,90188E+12;3,75105E+12;11865898,3;614176132,5;3,53704E+12;3,46852E+12;8938685,4;194736310,6;7,29417E+12;7,20411E+12;22423712,19;1844907547;7,83143E+12
IPA002b;450;632092,6433;square_pascal;jouvence_maladiere;mixed_housing;mixed_front_resid_housing;0;5,056;47,3361;18;B;Aesculus hippocastanum;Prunus laurocerasus;Acer pseudoplatanus;1098;0,172409459;1,162821456;4,3;3,2;0,625774027;0,067041232;88,22;90,62;0,469291311;2,477824386;12171,61407;0,000188264;8,71643141;0,129809855;2056;4;20;0,110451719;3492;3;13;0,039776393;1139;3;11;0;6;intensive;58,56204987;75,36280795;96,83038703;112,8331437;58,25747932;0;0;0;0;0;0;0;0;15449279,24;355489940,3;8,26993E+12;7,96105E+12;28845090,24;1399811986;7,60586E+12;7,46454E+12;20845805,28;454956004,6;1,54258E+13;1,52491E+13;53681434,11;4318792309;1,64576E+13
IPA003a;150;70232,51593;place_republique;centre_ville;old_city;high_hollow_blocks;0;5,046;47,3263;13;C;Platanus sp;Fraxinus excelsior;;160;0,311703213;3,695849552;9;7,225;0,206883068;0,067981408;570,6175;1288,24125;0,295087355;12,52459481;2162,355909;0,000313245;13,95948102;0,031389155;209;2;8;0,066138791;347;7;13;0,05653824;176;2;7,25;0;2;intensive;60,71559525;90,35011158;114,306812;82,78366572;33,08247825;0;0;0;0;0;0;0;0;304295,9206;17118848,5;5,05908E+11;4,89312E+11;208094,4006;50143797,65;4,55474E+11;3,98092E+11;1649656,784;52455715,15;1,83673E+12;1,79109E+12;2237995,562;459047255,2;1,75387E+12
IPA003a;300;280930,0637;place_republique;centre_ville;old_city;high_hollow_blocks;0;5,046;47,3263;13;C;Platanus sp;Fraxinus excelsior;;667;0,376307905;4,150306584;8,5;5,9;0,165834259;0,084196405;394,9975;1339,735;0,207305006;20,02029119;6069,142749;0,000224255;6,948646642;0,048761058;700;3;9,21450499;0,061182451;1187;6;13;0,046401039;512;2;11;0,001367565;2;intensive;54,67127609;66,93068848;95,95123366;74,39973743;27,40698238;0,211588206;8272,475452;0;724121,9971;4,20E-12;168,3868319;0;0;1350212,583;67361387,4;1,95501E+12;1,89327E+12;1174082,138;202319167,3;1,58941E+12;1,54566E+12;5900829,715;190614916,9;6,00376E+12;5,86534E+12;7447015,186;1628843965;5,48843E+12
