sp_id;order;family;genus;species;nesting_pref;development_mode;trophic_level;trophic_niche;foraging_behaviour;foraging_strata;body_mass;brain_mass;beak_length;beak_width;beak_depth;tarsus_length;hwi;wing_length;kipps_distance;tail_length;clutch_size;clutch_nb;egg_mass;fledging_age;maturity_age;longevity;max_longevity;habitat;hab_density;prim_lifestyle;urban_tolerance;social_behaviour;migratory;latitude_cent;longitude_cent;range_size;iucn_status;comment
acci_nisu;Accipitriformes;Accipitridae;Accipiter;nisus;tree_branch;semi_altricial;carnivore;vertivore;hawking;all_strata;220,8;;19,6;8,4;10;53,6;35,5;207,4;74,2;155,5;4,75;1;22,5;26,5;365;17,89;20,25;forest;dense;insessorial;adapter_avoider;solitary;0;54,67;77,29;23601609,31;lc;
anas_plat;Anseriformes;Anatidae;Anas;platyrhynchos;ground;precocial;herbivore;omnivore;dabbling;water;843,4;5,64;58,5;20,8;17,8;40,6;50,7;263,4;133,5;86,9;10,515;1;54;55,5;365;29;29,1;wetland;open;aquatic;adapter;gregarious;0;51,63;11,04;39707247,47;lc;
cygn_olor;Anseriformes;Anatidae;Cygnus;olor;riverbanks;precocial;herbivore;aquatic_herbivore;dipping;water;10682;20,5;96,1;31;26,4;96,1;42,1;581,5;244,9;198,1;5,95;1;342,5;135;1183,6;27,7;70;wetland;open;aquatic;adapter;gregarious;0;49,96;41,72;4915289,2;lc;
apus_apus;Caprimulgiformes;Apodidae;Apus;apus;building;altricial;carnivore;invertivore;hawking;air;37,6;0,69;10,2;4;2,8;8,8;71,6;161,3;120,2;67,4;2,3;1;3,57;42,5;728,47;21;21,08;rupestrian;dense;aerial;exploiter;gregarious;1;48,52;57,95;24779919,71;dd;
colu_livi;Columbiformes;Columbidae;Columba;livia;building;altricial;herbivore;granivore;scratching;ground;354,2;;23,2;4,3;5;26,5;45,1;219,6;98,8;105,5;2;4;17,6;31;140;21,54;35;rupestrian;open;terrestrial;exploiter;gregarious;0;33,52;51,08;17464191,46;lc;
colu_oena;Columbiformes;Columbidae;Columba;oenas;cavity;altricial;herbivore;omnivore;scratching;ground;290,8;;23,2;6,8;7,8;26,4;42,5;214,8;91,6;119,4;2,17;3,5;16,7;25;364,23;12,58;12,6;woodland;open;terrestrial;adapter;gregarious;0;50,84;35,32;9272521,23;dd;
colu_palu;Columbiformes;Columbidae;Columba;palumbus;tree_branch;altricial;herbivore;omnivore;scratching;ground;490;2,1;27,8;8;7,8;31,5;41,2;246,4;101,4;153,2;1,9;1,5;18,5;33,3;364,23;16,33;17,7;woodland;semi_open;terrestrial;adapter_exploiter;small_groups;0;50,34;32,15;11947217,36;lc;
stre_deca;Columbiformes;Columbidae;Streptopelia;decaocto;tree_branch;altricial;herbivore;granivore;scratching;ground;154,7;1,5;20,9;3,9;3,9;20,8;35,4;173,7;60,9;134,2;2;4;9,4;17;364,23;17,7;17,9;rupestrian;open;terrestrial;adapter_exploiter;solitary;0;40,2;54,01;19265912,02;lc;
alce_atth;Coraciiformes;Alcedinidae;Alcedo;atthis;riverbanks;altricial;carnivore;aquatic_predator;diving;water;31,1;0,77;42,2;5,7;7,4;9,9;26,9;73,3;19,3;32,3;6,5;1,5;4,3;25;365;21;21;riverine;semi_open;insessorial;adapter_avoider;solitary;0;39,55;74,25;24992154,31;dd;threatened in various regions
cucu_cano;Cuculiformes;Cuculidae;Cuculus;canorus;shrub_tree_branch;altricial;carnivore;invertivore;gleaning;ground_and_lower_strata;111,4;1,63;26;7,6;7,6;21,4;43,9;192;84,6;158,1;9,2;12;3,4;19;365;12,9;12,9;forest;semi_open;insessorial;avoider;solitary;1;49,44;81,5;37338142,79;lc;threatened in various regions
falc_subb;Falconiformes;Falconidae;Falco;subbuteo;treetop;semi_altricial;carnivore;invertivore;hawking;air;208,2;3,72;17,9;10,4;11,8;31,7;57,8;260,7;150,2;129,2;3;1;24,5;31;545,97;10,8;14,1;woodland;open;aerial;avoider;solitary;1;50,34;78,26;28255832,68;lc;threatened in various regions
falc_tinn;Falconiformes;Falconidae;Falco;tinnunculus;cavity;semi_altricial;carnivore;vertivore;scanning;ground;183,2;4,01;20,8;10,6;11,5;39,1;51;241;123,2;154,5;4,5;1;21;29,5;365;20,42;23,83;shrubland;open;aerial;adapter;solitary;0;36,82;63,63;49037026,09;lc;
fuli_atra;Gruiformes;Rallidae;Fulica;atra;water;precocial;herbivore;aquatic_herbivore;dabbling;water;717,1;2,95;37,7;5,6;10,5;57;39,6;198,2;78,6;53,9;7,6;1,5;36,5;57,5;365;20,6;32,3;wetland;open;generalist;adapter;gregarious;0;36,45;81,74;33490842,86;lc;
gall_chlo;Gruiformes;Rallidae;Gallinula;chloropus;branches_above_water;precocial;omnivore;omnivore;dipping;ground;339,6;2,5;33,9;4,3;8,1;45,9;32,2;165,5;53;69;7;2;22,3;45;364,23;12,83;18,6;wetland;open;terrestrial;adapter;small_groups;0;27,57;54,75;38515141,7;lc;
